B07XZJ412P,HBN Individual Grounded Compatible Assistant,"Compare with Similar Items
HBN WiFi Dual Smart Plug
HBN Mini Smart Plug
HBN Outdoor Smart Plug
HBN Outdoor WiFi Plug
HBN Outdoor Smart Plug
Compatible with Alexa
    
Work with Google Assistant
    
Indoor/Outdoor
Indoor Indoor Indoor and Outdoor Indoor and Outdoor Indoor and Outdoor
Number of Outlets
2 1 1 2 3
Voice Control
    
Plug In/In-Wall
Plug In Plug In Plug In Plug In Plug In
Individual Control
 - - - -",HBN,HBN,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51mDBFN8wML._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjQwODc5ODAxNDgwNzA1OjE3MDE5MDk4NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAxODg5NzY4MjU2MTo6MDo6&url=%2FHBN-Individual-Grounded-Compatible-Assistant%2Fdp%2FB07XZJ412P%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%253Aamzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB07XZJ412P%26pd_rd_r%3Ddd6e7e2c-94fd-411a-b6e0-5439170f2903%26pd_rd_w%3D754Gh%26pd_rd_wg%3DvEw16%26pf_rd_p%3D9e5188ef-9cc8-48bb-b834-24761033aedf%26pf_rd_r%3DA9DWGBNPMH1FP7G38RYP%26qid%3D1701909846%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B07JB5TQSG,Etekcity Outdoor Remote Control Outlet,"Play Video
Control from Anywhere
Turn on/off connected devices through the VeSync app anywhere, anytime.
Control from Anywhere Schedule & Timer Outdoor Survivor
Go Hands-free
Ask Alexa or Google Home to turn on/off outdoor appliances when your hands are full, or in the middle of a task, or even when you do not want to move around.
2 Individual Outlets
Each socket can be independently controlled and customized through the app.
Sunset & Sunrise
Sync your schedules to work with sunset and sunrise. Program door lamp to turn on right at sunset.
Sharing & Grouping
Enjoy the joy of sharing control with your family. Organize your Etekcity smart products into groups and control an entire group with a single tap.
Vacation Mode
With the away function, lights turn on and off in random intervals to make your home look occupied.
Smart Energy Monitor
Track total power usage for connected devices and figure out how much youre really spending on electricity. Use the in-app energy saving mode to make any needed adjustments. Save money at your fingertips.",Etekcity,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61srharATLL._AC_SX679_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjQwODc5ODAxNDgwNzA1OjE3MDE5MDk4NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDExNjM3MDY4NzU5ODo6MTo6&url=%2FEtekcity-Outdoor-Remote-Control-Outlet%2Fdp%2FB07JB5TQSG%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%253Aamzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB07JB5TQSG%26pd_rd_r%3Ddd6e7e2c-94fd-411a-b6e0-5439170f2903%26pd_rd_w%3D754Gh%26pd_rd_wg%3DvEw16%26pf_rd_p%3D9e5188ef-9cc8-48bb-b834-24761033aedf%26pf_rd_r%3DA9DWGBNPMH1FP7G38RYP%26qid%3D1701909846%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B084JHJBQT,meross Smart Plug HomeKit Pack,"Apple HomeKit Supported!
Integrate your device easily into your Apple ecosystem for even more convenient ways to control it.
Apple HomeKit Hands-Free Voice Control Remote Control
Fast Response
Millisecond response and no drop-off with superfast local control when you're at home.
Superfast Local Control Offline Control Reliable Safety Design
More smart devices from meross
Matter Smart Plug Mini
Smart Wi-Fi Thermostat
Fan Light Switch
Temperature Controller
Smart Power Strip
Smart Outlet 2 in 1
Smart Plug Mini 2 Pack
Works with Apple HomeKit
      
Works with Amazon Alexa
      
Works with Google Assistant
      
Superfast Local Control
      
Offline Control
      
No Hub Required
      ",meross,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61KNmAv7oJL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjQwODc5ODAxNDgwNzA1OjE3MDE5MDk4NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDEwNDUwNzU1Mjg5ODo6Mjo6&url=%2Fmeross-Smart-Plug-HomeKit-Pack%2Fdp%2FB084JHJBQT%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%253Aamzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB084JHJBQT%26pd_rd_r%3Ddd6e7e2c-94fd-411a-b6e0-5439170f2903%26pd_rd_w%3D754Gh%26pd_rd_wg%3DvEw16%26pf_rd_p%3D9e5188ef-9cc8-48bb-b834-24761033aedf%26pf_rd_r%3DA9DWGBNPMH1FP7G38RYP%26qid%3D1701909846%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B07WRFCXL9,HBN Grounded Wireless Compatible Assistant,"Countdown Timer
Set a timer for the connected device to automatically turn off when the time runs out.
Voice Control
Voice commands from Google Assistant and Alexa to control the device to free up your hands.
Grouping Function
Set a scene for controlling all outlets with one command.
Timer Setting
Use timer or countdown schedules to automatically turn on and off any home electronics and appliances.
No Hub Required
HBN Mini Smart Plug works with 2.4 GHz WiFi Only.
Share Device
Share the HBN Smart app with your family members to control devices.
HBN Mini Smart WiFi Plug Heavy Duty Wi-Fi with One Grounded Outlet HBN Heavy Duty Wi-Fi Individual Control 2 Grounded Outlets HBN Heavy Duty Outdoor Smart WiFi Plug Timer Outlet Switch HBN Heavy Duty Outdoor Wi-Fi Timer with Two Grounded Outlet HBN Smart WiFi Heavy Duty Outdoor Outlet with Three Grounded Outlets
Compatible with Alexa and Google Assistant     
Indoor/Outdoor Indoor Indoor Indoor and Outdoor Indoor and Outdoor Indoor and Outdoor
Number of Outlets 1 2 1 2 3
Controlled by App HBN Smart/Smart Life HBN Smart/Smart Life HBN Smart/Smart Life HBN Smart/Smart Life HBN Smart/Smart Life
Voice Control     
Plug In/In-Wall Plug In Plug In Plug In Plug In Plug In
Individual Control   ",HBN,HBN,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51qf+Y3L+rL._AC_SX466_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjQwODc5ODAxNDgwNzA1OjE3MDE5MDk4NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAxODI4NTkzOTQ2MTo6Mzo6&url=%2FHBN-Grounded-Wireless-Compatible-Assistant%2Fdp%2FB07WRFCXL9%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%253Aamzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB07WRFCXL9%26pd_rd_r%3Ddd6e7e2c-94fd-411a-b6e0-5439170f2903%26pd_rd_w%3D754Gh%26pd_rd_wg%3DvEw16%26pf_rd_p%3D9e5188ef-9cc8-48bb-b834-24761033aedf%26pf_rd_r%3DA9DWGBNPMH1FP7G38RYP%26qid%3D1701909846%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B082TL24BR,HBN Grounded Wireless Compatible Assistant,"2 Outlets Design
2 Individual grounded outlets can be controlled independently.
Countdown Timer
Set a timer for the connected device to automatically turn off when the time runs out.
For Outdoor and Indoor
Works with most plug-in appliances such as lamps, Holiday decoration, Garden, Backyard and etc.
Grouping Function
Set a scene for controlling all outlets with one command.
Schedule Function
Schedule the HBN Smart Plug to automatically power electronics on and off as needed.
APP Remote Control
Turn electronics on or off from anywhere with your smartphone using the app.
HBN Heavy Duty Outdoor Wi-Fi Timer with Two Grounded Outlet HBN Heavy Duty Outdoor Smart WiFi Plug Timer Outlet Switch HBN Smart WiFi Heavy Duty Outdoor Outlet with Three Grounded Outlets HBN Smart Plug Outlet with One Grounded Outlet Outdoor Smart WiFi Plug
Compatible with Alexa and Google Assistant     
Indoor/Outdoor Indoor and Outdoor Indoor and Outdoor Indoor and Outdoor Indoor and Outdoor Indoor and Outdoor
Number of Outlets 2 1 3 1 2
Controlled by App HBN Smart/Tuya Smart/Smart Life HBN Smart/Tuya Smart/Smart Life HBN Smart/Tuya Smart/Smart Life HBN Smart/Tuya Smart/Smart Life HBN Smart/Tuya Smart/Smart Life
Voice Control     
Plug In/In-Wall Plug In Plug In Plug In Plug In Plug In",HBN,HBN,"https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71fCyCBjlaL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjQwODc5ODAxNDgwNzA1OjE3MDE5MDk4NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAzNTE1NzQzOTQ2MTo6NDo6&url=%2FHBN-Grounded-Wireless-Compatible-Assistant%2Fdp%2FB082TL24BR%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%253Aamzn1.sym.9e5188ef-9cc8-48bb-b834-24761033aedf%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB082TL24BR%26pd_rd_r%3Ddd6e7e2c-94fd-411a-b6e0-5439170f2903%26pd_rd_w%3D754Gh%26pd_rd_wg%3DvEw16%26pf_rd_p%3D9e5188ef-9cc8-48bb-b834-24761033aedf%26pf_rd_r%3DA9DWGBNPMH1FP7G38RYP%26qid%3D1701909846%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B08731J1L4,Govee WiFi Outlet,"Voice Control Remote Control WiFi & BLE Connection
Schedule Your Home 24H Timer Grouping Function
Compact Design
Suitable for any wall socket within its pretty and convenient size, and won't interfere with any socket.
Security Protection
Govee uses Fire resistant 1383F ABS material and high-quality chips and provide overload protection to ensure the safety of family members.
No Hub Required
Govee smart plug connects to your home 2.4 GHz WiFi easily. If your router supports both 5G and 2.4G, please switch to 2.4G and reconnect.
Auto Reconnection
After Wi-Fi loss, Internet interruption, or power outage, the smart outlet will automatically try to reconnect.
Govee Smart Plug, More Stable than You Think
Circular Smart Plug H5083
Dual Smart Plug H5082
Smart Plug H5080
Outdoor Smart Plug H5160
Connection Way
WiFi & Bluetooth WiFi & Bluetooth WiFi & Bluetooth WiFi & Bluetooth
Max Current
10A 15A 15A 15A
Number of Sockets
1 2 1 3
Rated Voltage
AC 120V AC 120V AC 120V AC 125V
Control Methods
Voice+App Control Voice+App Control Voice+App Control Voice+App Control
Wi-Fi Band
2.4GHz Only 2.4GHz Only 2.4GHz Only 2.4GHz Only
Fireproof or Waterproof
Fire Resistant 1383F Material Fire Resistant 1383F Material Fire Resistant 1383F Material Unique Waterproof Design
Number of Packages
4 Pack, 1 Pack 4 Pack, 2 Pack 4 Pack, 2 Pack, 1 Pack 1 Pack
How to Connect with Govee Home App?
What is WiFi & Bluetooth Connection?
How do I Connect My Dual-band Router to 2.4Ghz Plugs?
Some Tips for Connection.",Govee,GOVEE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/517Nlox4GhS._SY500_.jpg,https://www.amazon.com/Govee-WiFi-Outlet/dp/B08731J1L4/ref=sr_1_8?keywords=smart+plug+wifi&qid=1701909846&sr=8-8
B0BMVTQ1QM,Outlet Bluetooth App Control Certified,"Amysen Smart Plug 2023 New Upgrade
Amysen Bluetooth Mesh Smart Plug
Smart Plugs Work with Alexa Only
Amazon Alexa app remote control
Set up easily: plug & play in seconds
Bluetooth mesh network for more devices
Voice control with Alexa devices
Timer and Schedule
Specification
Power Supply: AC 110-240V, 50/60 Hz
Load Current: 10A Max. Resistive load
Compatible Device: Alexa only
Operation Temperature: -20 to 60C/-4 to 122
Set Up Easily
Step1Ensure your Alexa Echo is workingAlexa app can control your Alexa Echo.
Step2Plug in Smart Plug then say Alexa, discovery devices  to Alexa Echo.
Step3It takes few seconds that the plug gets discovered and connected with your Alexa Echo.
Bluetooth Mesh Net for More Devices
The Bluetooth 5.0 smart plug can be setup a bluetooth mesh network, in the network you can control much more plugs than the wi-fi smart plugs.
Do not slow your wifi network.
Hand Free Voice Control
It allows you to control our smart plug through voice commands with Alexa Echo, which free your hands when you are busy.",Amysen,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61qv90xw7rL._SX522_.jpg,https://www.amazon.com/Outlet-Bluetooth-App-Control-Certified/dp/B0BMVTQ1QM/ref=sr_1_9?keywords=smart+plug+wifi&qid=1701909846&sr=8-9
B0B62LPR5Z,Outlet Compatible Smartthings Control Function,"Voice Control Timer & Schedule Device Sharing
How to connect smart plug?
What to do when connection fails
How do I use the plug to work with third-party voice assistants?
What should I do if my smart hom plug is broken?",EIGHTREE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/31kfUt2sPZL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.com/Outlet-Compatible-Smartthings-Control-Function/dp/B0B62LPR5Z/ref=sr_1_10?keywords=smart+plug+wifi&qid=1701909846&sr=8-10
B07R4MFWCQ,Treatlife Smart Light Switch Assistant,"Compatibility
- Neutral wire is required.
- Only support 2.4G network (not 5G).
- For single-pole switch only (not 3 way).
- Max power: 1250W; Output Current: 10A.
- Input Voltage: 120VAC /60Hz
- App Supported: Smart Life APP/ TreatLife APP
- Standard size: compatible with your existing 1-gang/2-gang/3-gang standard wall plates.
Treatlife Smart Light Switch
Quick and Easy Setup
Treatlife Smart Switch is a great way to start building your smart home system. It allows you to easily control your lights with your smartphone from anywhere, anytime.
Not only can you save on energy bills and secure your home with custom timers but also control all the lights if you install Treatlife switches throughout your house. You can also experience voice-activated lighting just with your voice through Alexa or Google Assistant.
Treatlife Light Switch comes with labels, the wall plate, and the necessary accessories for your installation.
You can follow the clear direction to complete the wiring and pairing.
It connects to your home's Wi-Fi network. No need for a hub or extra equipment.
What is a neutral wire?
A neutral wire allows our switch to be powered while simultaneously allowing the lighting circuit connected to your lights to be power off.
Do I have neutral wires?
If your house was built in the mid-1980s or later, there is an excellent chance that you have neutrals everywhere in your home.
If there is an outlet (wall receptacle) near the switch, most likely that switch box has a neutral.
Switches that are ganged together have a much higher likelihood of having neutrals, no matter what year.
Checking the switch box
The best way is to check the actual wires in the switch box where you want to install Treatlife.
Please observe all safety precautions before handling the electrical wiring in your switch boxes.
Turn off your breaker box.
Take off the trim plate over the switch.
Remove the screws from your switch and pull out the existing switch to look at the wires.
If you see a white wire (or group of them), it is VERY likely that you have a neutral.
The only way to be absolutely sure that you have found a neutral wire is to check the voltage (110V/120V) between the white wire and the ""hot"" (usually black in color) wire in the box. In a standard switch/dimmer, the ""hot"" is using one of the two wires connected to the switch.
Smart Light Switch 4Pack Smart Dimmer Switch 4Pack 3-Way Smart Switch 4Pack 3 Way Smart Dimmer Switch 2Pack Smart Switch 4Pack 3 Way Smart Switch 4Pack
Control from Anywhere      
Work with Alexa/Google Home      
Set Schedules/Timers      
No Hub Required      
Wattage 1250W 150W LED, 150W CFL, 400W INC 150W LED, 150W CFL, 400W INC 150W LED, 150W CFL, 400W INC 1250W 1250W
Application Single Pole Light Switch Single-pole Dimmer Switch 3 Way Light Switch 3 Way Slide Dimmer Single pole Smart Switch 3 Way Smart Switch",TREATLIFE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51FaKKcgpaL._AC_SX679_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfbXRmOjIwMDA3MDE3ODkxMDE1MTo6MDo6&url=%2FTreatlife-Smart-Light-Switch-Assistant%2Fdp%2FB07R4MFWCQ%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3U2GPXV9J2W2G
B07ZSF554H,Required Treatlife Compatible Assistant Schedule,"3-Way Smart Light Switch Smart Light Switch Smart Dimmer Switch 3 Way Smart Dimmer Switch Single Pole Smart Switch 3 Way Smart Light Switch
Control from Anywhere      
Work with Alexa/Google Home      
Set Schedules/Timers      
No Hub Required      
Countdown      
Wattage 1250 W 1250 W 150W LED, 150W CFL, 400W INC 150W LED, 150W CFL, 400W INC 1250W 1250W
Application 3-Way/Single-pole Single-pole Single-pole 3-Way Single-pole 3-Way/Single-pole
Physical Dimming Method Non-dimmer Non-dimmer Dimmable press button/APP/Voice Control Dimmable press button/APP/Voice Control Non-dimmer Non-dimmer
Network Required 2.4GHz WiFi 2.4GHz WiFi 2.4GHz WiFi 2.4GHz WiFi 2.4GHz WiFi 2.4GHz WiFi",TREATLIFE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61aGF1AO6-L._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfbXRmOjIwMDA3MDE3NzkxMDE1MTo6MDo6&url=%2FRequired-Treatlife-Compatible-Assistant-Schedule%2Fdp%2FB07ZSF554H%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B0BJ71D81Q,Treatlife Compatible Assistant Schedule Required,"Networking Instructions:
No Hub Required
Secured 2.4GHz WiFi
Press and hold the on/off button for 5 seconds until the indicator light blinks rapidly
If the light remains red, the device is not connected
To reconnect after changing the router, hold the on/off button for 5 seconds to reconnect to the network
Light up your life, your way - with our 3-way dimmer switch
The 3-way dimmer smart switch lets you control all dimmer light bulbs with your phone. 0% - 100% smart dimming range can adjust the ambiance of the space better. From scheduling to creating scenes, the Smart Life app puts you in control, wherever you are.
Using it as a 3-way smart switch to control the same light from 2 locations. Smart design for the top and bottom of stairs, perfect for large rooms with multiple entrances, etc.
Specifications:
Rated Voltage: 120V/60HZ
Max Power: 150W LED, 150W CFL, 400W INC
App Supported: Smart Life APP/ TreatLife APP
Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz
Applicable Equipment: Non-smart but dimmable light bulbs
Best for top and bottom of a staircase, garage and other large spaces.
Illuminate every moment perfectly with our advanced 3-way smart dimmer switch
App/Manual Smart Dimming
You can easily adjust the dimming level of 1% -100% by the button or APP, set the perfect ambiance light for any activities. Creating atmosphere on different occasions with desired brightness.
Single-Pole and 3-way Application
Using the 3-way smart dimmer switch as single pole or 3-way switch to control the light from 1 or 2 locations. Just replace one traditional 3-way switch to control the light from 2 locations. It will save more money and power.
Group Control
Add a group of Treatlife smart dimmer switch to control a collection of lights. When your family and friends arrive at the agreed location, you can turn on all lights in the house with one click. It makes the party full of surprises and fun!
Create the perfect ambiance at home with ease. Upgrade to our 3-way smart dimmer switch and enjoy customizable lighting for every occasion
Device Share
Just tap the button in the smart life APP, you can share your dimmer smart plug to all family members. It makes your family relationships closer and makes your life easier and smarter.
Gentle Off
The smart switch allows fade off the lights in the child's bedroom after turning on the switch, so that the baby's eyes will never be shocked by too bright light.
Easy Setup
No need to understand complex 3-way wiring, step-by-step instructions will guide you through the wiring process. Excellent customer support is always behind you to help at any time.
3-way Smart Dimmer Switch 3-way Smart Switch Single Pole Smart Switch Single Pole Smart Dimmer Switch 3-way Smart Dimmer Switch 3-way Smart Switch
Dimmer  No No   No
Remote Control      
Work with Alexa/Google Home      
Schedules/Timers      
No Hub Required      
Wattage 150W LED, 150W CFL, 400W INC 1250W 1250W 150W LED, 150W CFL, 400W INC 150W LED, 150W CFL, 400W INC 1250W
Application 3-way or single-pole dimmer 3-way or single-pole switch single-pole switch single-pole switch 3-way or single-pole dimmer 3-way or single-pole switch",TREATLIFE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61KxkkeUdRL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfbXRmOjIwMDEzMTkwNDYxMTI5ODo6MDo6&url=%2FTreatlife-Compatible-Assistant-Schedule-Required%2Fdp%2FB0BJ71D81Q%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B088PNCJFQ,Treatlife Programmable Outlet Compatible Assistant,"TREATLIFE smart plugs can work with Alexa and Google Assistant. Just giving a command to control your appliances ON or OFF. No manually ON or OFF your lights anymore.
It's time to feature the Thanksgiving and Christmas Gifts for your families and friends now. A smarter home is all for you.
Child Lock
Lock the physical button, to prevent children from turning the plug ON/OFF by mistake.
Scheduling
Schedule your connected devices to turn ON/OFF automatically. For example, turn ON/OFF the fan automatically in the specific time.
Light Mode
Turn off the led indicator light, to let you fall asleep and have a sweet dream in an environment without dazzling light.
No more thinking about playing games for too long and affecting your health, Treatlife timer plug can solve this.
No more thinking about forgetting leaving your lamp ON or OFF, just hand it to Treatlife smart timers.
No more thinking about having no times to enjoy breakfast at home because you have the Treatlife outlet timers.
Protect your home security by turning the lights on or off randomly via APP, to make it look like someone is at home, when you're on vacation.
Buy it Now Buy it Now Buy it Now Buy it Now Buy it Now Buy it Now
Control from Anywhere      
Work with Alexa/Google Home      
Set Schedules/Timers      
No Hub Required      
Wattage 1800W 300W 1875W 1875W 400W 600W
Color White White Black Black Black Black
Application Alexa Plug Dual Outlets Plug 2 Individual Control Sockets 2 Individual Control Sockets Dimmer Plug Dual Outlet Smart Dimmer
Dimmable No  No No  
Outdoor Usage No No    ",TREATLIFE,TREATLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61lLir49lEL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfbXRmOjIwMDA3NTUwOTYyNzM5ODo6MDo6&url=%2FTreatlife-Programmable-Outlet-Compatible-Assistant%2Fdp%2FB088PNCJFQ%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B07S57PQSM,TP Link Alexa Smart Wifi Plug,"Voice Control
Free up your hands by using simple voice commands with Alexa and Google Assistant.
Voice Control Control from Anywhere Grouping
Smart Actions
Create interactions with your plug and other Kasa products. Connect a lamp to your plug so that when your camera detects motion, your light turns on.
App Features
Scheduling
Schedule your connected devices to turn on and off automatically at specified times.
Count Down Timer
Set a timer for your connected appliance to automatically turn off when the time runs out.
Away Mode
Away Mode will automatically turn on and off connected appliances, like lamps, to make it appear as if you're home.
Run Time & Usage
View run times to track usage and cut down on energy consumption.
Simple Setup",Kasa Smart,KASA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51Xu+cW-bWL._SX522_.jpg,https://www.amazon.com/TP-Link-Alexa-Smart-Wifi-Plug/dp/B07S57PQSM/ref=sr_1_15?keywords=smart+plug+wifi&qid=1701909846&sr=8-15
B091FXH2FR,Kasa Smart Resistance Compatible EP40,"Voice Control
Free up your hands by using simple voice commands with Alexa and Google Assistant.
Voice Control Schedules Control from Anywhere IP64 Weather-Resistant
Strong WiFi Connection Up to 300 ft
An outdoor plug needs a strong WiFi signal and the Kasa Smart WiFi Outdoor Plug has one of the strongest. With a built-in power amplifier for long range WiFi, the outdoor plug has a reach of up to 300 ft in open areas.
Control with a Single Tap
Remotely power your outdoor smart plug on or off with just a single tap on your phone. Group your indoor and outdoor devices for unified control like combining your living room bulbs with the patio lights connected to your outdoor plug, so you can light up your home for a memorable dinner party.
Control Individual Outlets
Control each outlet individually through the app or with Alexa and Google Assistant.
Grouping & Scenes
Group your plugs with other Kasa devices to turn them all on or off with one click or choose a custom preset with scenes.
Away Mode
Away Mode will automatically turn on and off your connected devices, like lights, to make it appear as if you're home.
Countdown Timer
Set a timer for your plugs to automatically turn off when the time runs out.",Kasa Smart,KASA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61soGaMHzrL._AC_SX679_.jpg,https://www.amazon.com/Kasa-Smart-Resistance-Compatible-EP40/dp/B091FXH2FR/ref=sr_1_16?keywords=smart+plug+wifi&qid=1701909846&sr=8-16
